iter	Passed	Remaining
0	137	137801
1	138	69270
2	139	46396
3	140	34957
4	141	28109
5	142	23548
6	142	20283
7	143	17833
8	144	15942
9	145	14415
10	146	13158
11	147	12116
12	148	11238
13	148	10492
14	149	9843
15	150	9271
16	151	8782
17	152	8337
18	153	7936
19	154	7576
20	155	7255
21	156	6962
22	157	6706
23	159	6468
24	160	6247
25	161	6036
26	162	5843
27	163	5665
28	164	5498
29	165	5348
30	166	5203
31	167	5074
32	169	4954
33	170	4836
34	171	4725
35	172	4619
36	173	4521
37	174	4428
38	176	4336
39	177	4252
40	178	4172
41	179	4101
42	181	4029
43	182	3961
44	183	3895
45	184	3831
46	185	3769
47	187	3711
48	188	3658
49	189	3604
50	191	3555
51	192	3504
52	193	3458
53	194	3412
54	196	3369
55	197	3328
56	198	3286
57	200	3249
58	201	3210
59	202	3178
60	204	3140
61	205	3104
62	206	3070
63	207	3039
64	209	3007
65	210	2976
66	211	2946
67	212	2916
68	214	2887
69	215	2859
70	216	2831
71	217	2805
72	219	2781
73	220	2756
74	221	2734
75	223	2712
76	224	2690
77	225	2669
78	227	2646
79	228	2624
80	229	2603
81	230	2582
82	231	2556
83	232	2537
84	233	2518
85	235	2500
86	236	2483
87	237	2466
88	239	2448
89	240	2431
90	241	2415
91	243	2399
92	244	2384
93	245	2368
94	246	2352
95	248	2337
96	249	2322
97	250	2309
98	252	2294
99	253	2281
100	254	2268
101	256	2255
102	257	2243
103	258	2231
104	260	2218
105	261	2206
106	262	2194
107	264	2182
108	265	2173
109	267	2162
110	268	2152
111	270	2141
112	271	2131
113	272	2120
114	274	2109
115	275	2099
116	276	2086
117	277	2076
118	279	2066
119	280	2057
120	281	2046
121	282	2035
122	284	2025
123	285	2016
124	286	2007
125	288	1998
126	289	1988
127	290	1979
128	292	1972
129	293	1964
130	294	1955
131	296	1946
132	297	1937
133	298	1928
134	299	1920
135	300	1912
136	302	1903
137	303	1895
138	304	1887
139	305	1879
140	307	1871
141	308	1861
142	309	1853
143	310	1845
144	311	1837
145	312	1830
146	314	1822
147	315	1815
148	316	1808
149	317	1801
150	319	1794
151	320	1788
152	321	1780
153	323	1774
154	324	1767
155	325	1761
156	326	1755
157	328	1748
158	329	1742
159	330	1736
160	331	1728
161	332	1721
162	334	1715
163	335	1710
164	336	1704
165	338	1699
166	339	1692
167	340	1686
168	341	1681
169	343	1675
170	344	1669
171	345	1664
172	346	1658
173	348	1653
174	349	1647
175	350	1642
176	352	1636
177	353	1631
178	354	1625
179	355	1620
180	357	1615
181	358	1610
182	359	1604
183	360	1599
184	361	1593
185	363	1588
186	364	1583
187	365	1578
188	366	1573
189	367	1568
190	369	1564
191	370	1559
192	371	1554
193	373	1549
194	374	1545
195	375	1541
196	377	1536
197	378	1532
198	379	1528
199	380	1523
200	382	1519
201	383	1515
202	384	1511
203	386	1506
204	387	1502
205	388	1497
206	389	1493
207	391	1489
208	392	1484
209	393	1480
210	394	1476
211	396	1472
212	397	1468
213	398	1465
214	400	1461
215	401	1457
